Name,Type,Remarks
Co-Steward,Role,
WG Lead,Role,Basically a WG Lead key role but in the right place (as it is now a role)
Agreements Coordinator,Role,
LT Coordinator,Role,
SM Coordinator,Role,
POAP Wizard,Role,
Dream Journal Writer,Role,
Merit Minter,Role,
Documentarian,Role,
Onboarding Coordinator,Role,
ㅤㅤㅤㅤ〘ㅤMembershipㅤ〙ㅤㅤㅤ,Divider,
Dream DAO Builder,Membership,
Dream DAO Champion,Membership,
S3 Member,Membership,
S2 Member,Membership,
S1 Member,Membership,
CU Staff,Membership,
CU Fellowship Alumnus,Membership,
SkywalkerZ HODLer,Membership,
Friend of DAO,Membership,
Public Visitor,Membership,
ㅤㅤㅤㅤㅤ〘ㅤGroupsㅤ〙ㅤㅤㅤㅤ,Divider,
Governance WG,WG,
Grants WG,WG,
Gatherings WG,WG,
ㅤㅤ ㅤ ㅤㅤ〘ㅤKeysㅤ〙ㅤㅤ ㅤㅤ,Divider,
🔑 Tickets,Perms,
🔑 Events,Perms,
🔑 Roles,Perms,
🔑 Tags,Perms,
🔑 Announcements,Perms,
Server Booster,Misc,
🤖,Misc,Helps us keep bots in one place
Ticket Tool,Bot,This is essential for Friend of DAO tickets.
Paperform Bot,Bot,
gmBot,Bot,
Dyno,Bot,Will use it for roles and moderation (MetaAngels use it!).
Collab.Land,Bot,Essential to verify assets.