Name,Attendees,Date,Event type,Host,POAP admin link,Recording (Video)
Dream DAO Learning Together #72: “Improving DAOs”,"Joshua Santiago Cruz Pérez (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Joshua%20Santiago%20Cruz%20Pe%CC%81rez%20ad3e7ae4b7754c40b6426f78f129d454.md), Charlotte Bruderly (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Charlotte%20Bruderly%2023b7450e0419405fbd4aa524257d2dcf.md), Shaan Patel (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Shaan%20Patel%203499e10e26d04d5fbf089d36f019db67.md), Ibtehaj Esha (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Ibtehaj%20Esha%20972ae4c0e2ec4829bf328fbd43d3a7a8.md), Fernando Cruz (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Fernando%20Cruz%2054e5f6ad195747768e88228cb11be378.md)","March 30, 2023",Learning Together,Discussion - No Speaker,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23723a-improving-daos-2023,https://app.butter.us/recording/afc7e7d3-2136-4b7d-bc7a-591963d90d89
Dream DAO Learning Together #73: “Wallets”,"Joshua Santiago Cruz Pérez (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Joshua%20Santiago%20Cruz%20Pe%CC%81rez%20ad3e7ae4b7754c40b6426f78f129d454.md), Tyler Stambaugh (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Tyler%20Stambaugh%20912b979834f5415fa5c878ccf3e7522c.md), Ibtehaj Esha (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Ibtehaj%20Esha%20972ae4c0e2ec4829bf328fbd43d3a7a8.md), Shaan Patel (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Shaan%20Patel%203499e10e26d04d5fbf089d36f019db67.md), Aayush Pursnani (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Aayush%20Pursnani%20fc43ae7c3daa44dc9a6d3c478f970719.md), Aditya Dahiya (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Aditya%20Dahiya%20f951dd2ede7044738e549415f43a2a4b.md), Luis Gustavo Heredia Vasquez (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Luis%20Gustavo%20Heredia%20Vasquez%20d65e327c7a984388a11d18e99e0d2230.md), Clara Brown (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Clara%20Brown%206fe286238a6f4ec795a2fa498656a31a.md), Tarun Gupta (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Tarun%20Gupta%207c30b0d905b04a6094f2b8aa61864f9c.md), Ankit Kumar (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Ankit%20Kumar%20858d37d53ee0485a8c5c1ee827e0ea8e.md)","April 11, 2023",Learning Together,Epistetechnician and Prof,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23733a-wallets-2023,https://app.butter.us/recording/af703dbc-50c5-44c2-827d-71a144a14a37
Dream DAO Learning Together #74: “Impact and Regenerative Finance”,"Ibtehaj Esha (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Ibtehaj%20Esha%20972ae4c0e2ec4829bf328fbd43d3a7a8.md), Harry ThePlantBoi (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Harry%20ThePlantBoi%20ca8ad7f8c31b41d79f265b856c179620.md), Amanda Garcia Maritan (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Amanda%20Garcia%20Maritan%20dd6eaf138f244de980fea696f311e266.md), Keshav Gupta (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Keshav%20Gupta%207b4ee94db41441d8acbe715a5d3f0f9e.md), Aayush Pursnani (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Aayush%20Pursnani%20fc43ae7c3daa44dc9a6d3c478f970719.md), Jon Ruth (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Jon%20Ruth%2049aa5b91670d416f98dd4fc058fb13de.md)","April 19, 2023",Learning Together,Paula Palermo,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23743a-impact-and-regenerative-finance-2023,https://app.butter.us/recording/6d993bb1-7714-4da0-99a8-a67d20aab2c8
Dream DAO Learning Together #75: “Web3 and Social Impact”,"Aaryan Chadha (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Aaryan%20Chadha%20ef18f331f4d849fbb932a281a26d76ef.md), Amanda Garcia Maritan (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Amanda%20Garcia%20Maritan%20dd6eaf138f244de980fea696f311e266.md), Rebeca Lissa  (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Rebeca%20Lissa%20b23453bd7d01447ab570a34269660f4a.md), Thessy Mehrain (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Thessy%20Mehrain%2028825259c2024202b89065290f300111.md), Almond Hernandez (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Almond%20Hernandez%2036688c18aa254179a71a23dfb6ab02ee.md)","May 8, 2023",Learning Together,Almond Hdz,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23753a-web3-and-social-impact-2023,https://app.butter.us/recording/413047f8-b8f3-4419-a4bb-11f509216c00
Dream DAO learning Together #76: “Liberating Structures”,"Keshav Gupta (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Keshav%20Gupta%207b4ee94db41441d8acbe715a5d3f0f9e.md), Harry ThePlantBoi (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Harry%20ThePlantBoi%20ca8ad7f8c31b41d79f265b856c179620.md), Aaryan Chadha (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Aaryan%20Chadha%20ef18f331f4d849fbb932a281a26d76ef.md)","May 18, 2023",Learning Together,Jeremy and Bruno,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-763a-liberating-structures-2023,https://app.butter.us/recording/9ef121ec-94f5-4e9e-b59c-e898c79b451e
Dream DAO Learning Together #77: “Social Media and Marketing”,"Valeria Zambrano (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Valeria%20Zambrano%20881d86409e274c9f8856ac2bae843c65.md), Maria Jose Cruz  (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Maria%20Jose%20Cruz%206f28742331604bd7b71a1554a29d300b.md), Keshav Gupta (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Keshav%20Gupta%207b4ee94db41441d8acbe715a5d3f0f9e.md), Ibtehaj Esha (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Ibtehaj%20Esha%20972ae4c0e2ec4829bf328fbd43d3a7a8.md), Ankit Kumar (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Ankit%20Kumar%20858d37d53ee0485a8c5c1ee827e0ea8e.md)","June 3, 2023",Learning Together,Ana Maria Caldera,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23773a-social-media-and-marketing-2023,https://app.butter.us/recording/c1572a6a-f55c-4242-877d-3f5e580b8515
Dream DAO Learning Together #78: “Web3 Hackathons”,"Arath Velasco (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Arath%20Velasco%20d5ab06eb76df4d568e4d4eff94efe7a8.md), Amanda Garcia Maritan (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Amanda%20Garcia%20Maritan%20dd6eaf138f244de980fea696f311e266.md), Keshav Gupta (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Keshav%20Gupta%207b4ee94db41441d8acbe715a5d3f0f9e.md), Tarun Gupta (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Tarun%20Gupta%207c30b0d905b04a6094f2b8aa61864f9c.md), G Sai Sri Prabhat (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/G%20Sai%20Sri%20Prabhat%20a7709e5237fa49e288ed62f8bc90ddee.md)","June 13, 2023",Learning Together,Lena Hierzi,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23783a-web3-hackathons-2023,https://app.butter.us/recording/43d9236c-08ff-4249-a934-5ab9beaede78
Dream DAO Learning Together #79: “A Novel Ideas Engine: Using DAOs to Scale Regenerative Systems”,"G Sai Sri Prabhat (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/G%20Sai%20Sri%20Prabhat%20a7709e5237fa49e288ed62f8bc90ddee.md), Amanda Garcia Maritan (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Amanda%20Garcia%20Maritan%20dd6eaf138f244de980fea696f311e266.md), Ankit Kumar (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Ankit%20Kumar%20858d37d53ee0485a8c5c1ee827e0ea8e.md), Fernando Cruz (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Fernando%20Cruz%2054e5f6ad195747768e88228cb11be378.md), Aaryan Chadha (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Aaryan%20Chadha%20ef18f331f4d849fbb932a281a26d76ef.md)","June 17, 2023",Learning Together,Kris Millar,https://app.poap.xyz/admin/events/dream-dao-learning-together-23793a-a-novel-ideas-engine3a-using-daos-to-scale-regenerative-systems-2023,https://app.butter.us/recording/61e07bc6-a583-45d0-8e37-e80a1c1187a7
Dream DAO Learning Together #80: “Impact DAOs”,"Clara Brown (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Clara%20Brown%206fe286238a6f4ec795a2fa498656a31a.md), Valeria Zambrano (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Valeria%20Zambrano%20881d86409e274c9f8856ac2bae843c65.md), Charlotte Bruderly (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Charlotte%20Bruderly%2023b7450e0419405fbd4aa524257d2dcf.md), Shaan Patel (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Shaan%20Patel%203499e10e26d04d5fbf089d36f019db67.md), Keshav Gupta (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Keshav%20Gupta%207b4ee94db41441d8acbe715a5d3f0f9e.md), Joshua Santiago Cruz Pérez (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Joshua%20Santiago%20Cruz%20Pe%CC%81rez%20ad3e7ae4b7754c40b6426f78f129d454.md), Archi Kanugo (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Archi%20Kanugo%20bc642f772ead44fa96f898c45c5618e4.md)","July 8, 2023",Learning Together,deeparocks,,
Dream DAO Learning Together #82: “Carbon Credits x Blockchain”,,"August 15, 2023",Learning Together,Hayley Moller,,
Dream DAO Learning Together #81: “Building a Regenerative Ecosystem with Blockchain Technology”,,"July 29, 2023",Learning Together,Nikhil Raghuveera,,