Name,Person,Links to Braindump,Remark
Community Health Survey,"Saf, Ash Kranti, Karl",,
Creating a SMARTIE Goal for Fun Events,"Rashmika, Emmani",,
Creating the Orbit Model for Plugging in,"Armando, Roman",,
Developing Strategies to plug Inactive Builders in,"Ash Kranti, Karl, Aishah",,
Developing the Hub for the Community Building Working Group,"Karl, Julia, Lars, Timofei",,
Developing the Intros Club,"Saf, Karl",,
Developing the Merit Badge System,Open to all!,,
Developing the Offboarding Strategy,"Timofei, Ash Kranti, Jae-Hee, Karl",,
Developing the Onboarding Strategy,"Karl, Julia, Shreya, Madhav",,Julia for the Doc design!
Improving HODLer participation,Tom Segal,,
Logging in the Contributions of Folx,"Karl, Ash",,
Member of the Day Feature,"Shreya, Aishah, Karl",,