Name,Category,Accessible by,Remark
✅｜verify,,Only no-role ppl,Will disappear after verification
🏁｜start-here,╭─ 👋 Welcome,Verified (Public Visitor),
📖｜rules,╭─ 👋 Welcome,Verified (Public Visitor),
📗｜server-guide,╭─ 👋 Welcome,Verified (Public Visitor),A channel to explain all the channels and roles in the server!
🔗｜official-links,╭─ 👋 Welcome,Verified (Public Visitor),
😊｜become-friend,╭─ 👋 Welcome,Verified (Public Visitor),
🤝｜collabland-join,╭─ 👋 Welcome,Verified (Public Visitor),
📢｜announcements,╭─ 🌐 Public,Verified (Public Visitor),
💬｜general-chat,╭─ 🌐 Public,Verified (Public Visitor),
🚀｜skywalkerz,╭─ 🌐 Public,"DreamerZ, Friend of DAO, Verified (Public Visitor)","When we will have mints, SkywalkerZ should be shared here and discussed by members. It will encourage the public visitors to buy more as they will see the excitement around the token. "
👋｜introductions,╭─ 🌐 Public,Verified (Public Visitor),Moving to “Public” will help increase visitor engagement + will make sure no intros are in general-chat!
🌞｜gm,╭─ 🌐 Public,Verified (Public Visitor),
🌻 Solarpunk Lounge,╭─ 🌐 Public,Verified (Public Visitor),
📢｜announcements,╭─ 👥 Frens & Members,"DreamerZ, Friend of DAO","Since we only post LT announcements here while other events are public, maybe post LT announcements in the LT channel?
It will allow us to post truly big events for public visitors to see, too + will make the server less confusing"
📚｜learning-togethers,╭─ 👥 Frens & Members,"DreamerZ, Friend of DAO",
🌮｜community-love,╭─ 👥 Frens & Members,"DreamerZ, Friend of DAO",
📰｜news-x-inspo,╭─ 👥 Frens & Members,"DreamerZ, Friend of DAO",
🌞｜solarpunk,╭─ 👥 Frens & Members,"DreamerZ, Friend of DAO",
🤩｜opportunities,╭─ 👥 Frens & Members,"DreamerZ, Friend of DAO",
📣｜d-announcements,╭─ ✨ DreamerZ,DreamerZ,
🔗｜useful-links,╭─ ✨ DreamerZ,DreamerZ,
💡｜community-ideas,╭─ ✨ DreamerZ,DreamerZ,Name change to fit the Discord character limit
❓｜ask-anything,╭─ ✨ DreamerZ,DreamerZ,
💸｜Bounties,╭─ ✨ DreamerZ,DreamerZ,
🧘🏻｜unplugging,╭─ ✨ DreamerZ,DreamerZ,
🏛️｜governance,╭─ 🧰 Operations,DreamerZ,
💰｜grants,╭─ 🧰 Operations,DreamerZ,
👥｜gatherings,╭─ 🧰 Operations,DreamerZ,
🤖｜bots,╭─ 🧰 Operations,The DAO Council,
Tickets Channels,╭─ 🎫 Tickets,"Support Team, The DAO Council",
💻｜near-wg,,,
✍️｜dao-blog,,,
Server-logs,,,For Discord moderator announcements