Name,Recommender,Who,Twitter/LinkedIn
Li Jin,Madison,"If there is such a thing as an It Girl in venture capital these days, Ms. Jin, 31, would fill the bill. She sits at the intersection of start-up investing and the fast-growing ecosystem of online creators, both of which are red hot. And while she formed her own venture firm, https://www.atelierventures.co/, just last year and has raised a relatively small $13 million for a fund, Ms. Jin was among the first investors in Silicon Valley to take influencers seriously and has written about and backed creators for years.",https://twitter.com/ljin18?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Yanis Varoufakis,Jae-Hee,"Ioannis ""Yanis"" Varoufakis is a Greek economist and politician. A former academic, he served as the Greek Minister of Finance from January to July 2015 under Prime Minister Alexis Tsipras. He has been Secretary-General of MeRA25, a left-wing political party, since he founded it in 2018.",https://twitter.com/yanisvaroufakis?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
John Vervaeke,Jae-Hee,"John Vervaeke is a professor of cognitive science at the University of Toronto, who has published a 50-part lecture series on Youtube, called ""Awakening from the Meaning Crisis."" These quite challenging one-hour lectures attracted up to 150,000 viewers worldwide.",https://twitter.com/vervaeke_john
Sal Khan,Jae-Hee,Founder of khanacademy,https://www.linkedin.com/in/khanacademy/
Simona Pop,Ale Borda,"DAO Engagement strategy at Gitcoin, Community status at ethstatus, art collector, and content curator",https://twitter.com/Sim_Pop?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Griff Green,Ale Borda,"Co-Founder at Giveth, Commons Stack & DAppNode",https://www.linkedin.com/in/griffgreen/?originalSubdomain=ch
Eirini Malliaraki,Ale Borda,"“I’m a London based designer, researcher, and entrepreneur. I’m interested in the boundary-muddlings of information, computation, minds and nature.”",https://emalliaraki.com/about
Naveen Jain,Ale Borda,Cofounder of Tari and founder of SparkArt,https://twitter.com/naveenspark?lang=en
Naval Ravikant,Shreya,,
Balaji Srinivasan,Professor Stam,,
Chris Dixon,Madhav,,
Jade Darmawangsa,Allison,"Founder of NFTree Haus, part of ReFiDAO, content creator",https://www.linkedin.com/in/jadedarmawangsa/
,,,
,,,